dataset,k,rp_tr,rp_fro,rp_time,rp2_tr,rp2_fro,rp2_time,greedy_tr,greedy_fro,greedy_time,uniform_tr,uniform_fro,uniform_time,opt_tr,opt_fro
yolanda,10,,,,0.4494124501696745,0.0691179107699594,0.09963726997375488,,,,,,,,
yolanda,50,,,,0.3380483836731561,0.03762236359650805,0.31815552711486816,,,,,,,,
yolanda,100,,,,0.2774453749408763,0.023369461344687134,1.150151252746582,,,,,,,,
yolanda,200,,,,0.2329759019097039,0.01479277632317785,4.196065902709961,,,,,,,,
yolanda,300,,,,0.21178053421343593,0.011875096774998295,3.108933925628662,,,,,,,,
yolanda,400,,,,0.19655133705603695,0.010143221015860229,3.0086686611175537,,,,,,,,
yolanda,500,,,,0.18415462277430097,0.00908334362037667,8.318276643753052,,,,,,,,
yolanda,600,,,,0.17339178676300798,0.008236344335652904,14.843162536621094,,,,,,,,
yolanda,700,,,,0.16381862075047024,0.007554791423794719,10.692922830581665,,,,,,,,
yolanda,800,,,,0.15607621648999243,0.007020807120961353,23.509652137756348,,,,,,,,
yolanda,900,,,,0.14753864331602898,0.006560532084551706,23.94974994659424,,,,,,,,
yolanda,1000,,,,0.14139517084440212,0.006210445708560421,21.421192407608032,,,,,,,,
